adapter_response_count,campaign_id,category,cli_evidence,cohort,config_fingerprint,elapsed_ms,evidence,finished_at,first_schema_valid_attempt,input_sha256,input_tokens,max_turns,operational_error,order,output_tokens,planner_attempts,planner_retries,returncode,reviewer_attempts,reviewer_issue_count,reviewer_retry_count,run_id,schema_failure_count,schema_version,source_fingerprint,status,subprocess_wall_ms,total_tokens,trial_id,turn_count,usage_note,worker_elapsed_ms,zero_usage_response_count
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2083.394,trials/schema-11/cli/20260914T060714-63a88ebb22/result.json,2026-09-14T06:07:17.046617+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,11,130,1,0,0,1,0,0,20260914T060714-63a88ebb22,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2443.563417007681,682,schema-11,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1997.48,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2030.254,trials/schema-12/cli/20260914T060717-3dab3a4328/result.json,2026-09-14T06:07:19.534508+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,12,130,1,0,0,1,0,0,20260914T060717-3dab3a4328,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2426.357083953917,682,schema-12,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1943.855,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2121.758,trials/schema-13/cli/20260914T060719-1d918bb208/result.json,2026-09-14T06:07:22.073769+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,13,130,1,0,0,1,0,0,20260914T060719-1d918bb208,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2488.095708016772,682,schema-13,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2036.699,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2024.777,trials/schema-14/cli/20260914T060722-47fa23cd94/result.json,2026-09-14T06:07:24.516068+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,14,130,1,0,0,1,0,0,20260914T060722-47fa23cd94,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2392.7998750004917,682,schema-14,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1938.299,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2108.351,trials/schema-15/cli/20260914T060724-637b083068/result.json,2026-09-14T06:07:27.063337+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,15,130,1,0,0,1,0,0,20260914T060724-637b083068,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2485.654791002162,682,schema-15,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2007.484,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2095.294,trials/schema-16/cli/20260914T060727-14ccf0fe65/result.json,2026-09-14T06:07:29.624158+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,16,130,1,0,0,1,0,0,20260914T060727-14ccf0fe65,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2499.8188330209814,682,schema-16,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1990.877,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2096.957,trials/schema-17/cli/20260914T060730-f30740c9b7/result.json,2026-09-14T06:07:32.221825+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,17,130,1,0,0,1,0,0,20260914T060730-f30740c9b7,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2536.130124994088,682,schema-17,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1993.158,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2115.616,trials/schema-18/cli/20260914T060732-10e64356df/result.json,2026-09-14T06:07:34.752503+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,18,130,1,0,0,1,0,0,20260914T060732-10e64356df,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2477.633791975677,682,schema-18,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2026.069,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2076.849,trials/schema-19/cli/20260914T060735-b564460a86/result.json,2026-09-14T06:07:37.304304+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,19,130,1,0,0,1,0,0,20260914T060735-b564460a86,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2487.7439169795252,682,schema-19,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1975.576,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2133.743,trials/schema-20/cli/20260914T060737-2814789b8d/result.json,2026-09-14T06:07:39.963959+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,20,130,1,0,0,1,0,0,20260914T060737-2814789b8d,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2591.5828329743817,682,schema-20,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2024.054,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2091.437,trials/schema-21/cli/20260914T060740-f93e352434/result.json,2026-09-14T06:07:42.555688+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,21,130,1,0,0,1,0,0,20260914T060740-f93e352434,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2529.950333002489,682,schema-21,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1984.76,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2108.654,trials/schema-22/cli/20260914T060742-da05926409/result.json,2026-09-14T06:07:45.160218+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,22,130,1,0,0,1,0,0,20260914T060742-da05926409,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2542.3667909926735,682,schema-22,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2006.575,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2071.939,trials/schema-23/cli/20260914T060745-0aa6ac0592/result.json,2026-09-14T06:07:47.662102+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,23,130,1,0,0,1,0,0,20260914T060745-0aa6ac0592,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2440.4224999598227,682,schema-23,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,1978.649,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2132.921,trials/schema-24/cli/20260914T060747-8565bda615/result.json,2026-09-14T06:07:50.252009+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,24,130,1,0,0,1,0,0,20260914T060747-8565bda615,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2537.885500001721,682,schema-24,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2040.5349999999999,0
2,20260914T0610-baseline,Valid first attempt,True,schema,0080e40e43a8ad8f2b590b8d1e2b9c5e5fef98ca092bc92a1cb0581a61f94c25,2112.022,trials/schema-25/cli/20260914T060750-12ec391604/result.json,2026-09-14T06:07:52.866646+00:00,1,7e0d1125428f52aac130395190ddd2c4cc66832c72e31a87284b17c810fa7537,552,10,,25,130,1,0,0,1,0,0,20260914T060750-12ec391604,0,1,7814a2a02c60ddcfd23eace1bfc8a0bc02d98882440253f2c4ef4697be45febb,accepted,2549.249791947659,682,schema-25,2,Reported token counts only. A zero count can mean usage metadata was unavailable; it does not establish zero token consumption.,2003.123,0
